Year,Value
2020,1014.137276
2021,1065.450123
2022,1122.596055
2023,1185.600947
2024,1254.11004
2025,1327.42299
2026,1438.622759
2027,1465.623964
2028,1492.864688
2029,1520.937603
2030,1561.302927
2031,1706.2623
2032,1783.675546
2033,1869.139852
2034,1964.465366
2035,2068.690582
2036,2280.559959
2037,2360.28841
2038,2442.790546
2039,2527.959855
2040,2632.038583
2041,2726.405359
2042,2733.321066
2043,2746.258231
2044,2782.946839
2045,2828.979138
2046,3297.313974
2047,3603.326972
2048,3943.975946
2049,4315.208556
2050,4738.729688
2051,4945.58075
2052,4917.442815
2053,4914.146664
2054,4937.654517
2055,4991.766132
2056,5426.301004
2057,5707.43155
2058,6004.927457
2059,6320.560716
2060,6677.871874
2061,6841.111713
2062,6958.519201
2063,7089.07055
2064,7237.786031
2065,7409.037294
2066,7649.508596
2067,7861.48828
2068,8093.219486
2069,8336.149981
2070,8745.671007
2071,8780.665242
2072,8902.707977
2073,9035.774401
2074,9180.835283
2075,9340.222676
2076,10171.37026
2077,10904.80671
2078,11723.75323
2079,12640.535
2080,13722.16513
2081,13964.827
2082,14156.04146
2083,14361.2906
2084,14581.24351
2085,14815.25818
2086,15318.74997
2087,15679.25931
2088,16066.48926
2089,16487.89695
2090,16985.20581
2091,16395.07137
2092,16193.91572
2093,16002.35921
2094,15803.04684
2095,15599.1041
2096,15840.47412
2097,15751.18663
2098,15671.96785
2099,15609.2513
2100,15579.42192
2101,15904.49744
2102,16316.26199
2103,16779.15111
2104,17292.24813
2105,17851.49758
2106,17994.2589
2107,18269.79401
2108,18562.55086
2109,18881.72298
2110,19279.79944
2111,18799.65371
2112,18678.26596
2113,18558.82316
2114,18429.76266
2115,18292.48922
2116,18285.15256
2117,18341.91641
2118,18405.52431
2119,18482.61429
2120,18730.48529
2121,19402.94856
2122,20044.686
2123,20735.43807
2124,21467.88339
2125,22245.18962
2126,23725.4521
2127,24787.31945
2128,25918.58467
2129,27134.89279
2130,28515.41808
2131,28816.49158
2132,28802.72912
2133,28824.99143
2134,28867.29032
2135,28912.19108
2136,30107.656
2137,30781.55208
2138,31502.15848
2139,32275.58593
2140,33152.4926
2141,33485.09834
2142,33732.09357
2143,34037.11113
2144,34385.24024
2145,34771.68901
2146,33655.24677
2147,33186.23342
2148,32745.25689
2149,32330.39335
2150,31951.77346
2151,31899.95577
2152,31852.05111
2153,31877.64996
2154,31973.6933
2155,32107.55122
2156,32526.50513
2157,32771.47745
2158,33018.75311
2159,33273.98601
2160,33570.93555
2161,33669.22819
2162,33574.2308
2163,33549.03594
2164,33593.75073
2165,33662.99589
2166,34506.52161
2167,34554.40096
2168,34593.54961
2169,34644.10234
2170,34931.43865
2171,35923.15091
2172,36716.84365
2173,37623.39358
2174,38646.75334
2175,39776.02322
2176,40956.14746
2177,41533.1078
2178,42116.28404
2179,42718.07054
2180,43396.24575
2181,42845.93182
2182,41874.24593
2183,40965.22655
2184,40124.27566
2185,39358.67871
2186,39294.75764
2187,39612.39647
2188,39962.50946
2189,40345.38787
2190,40713.66859
2191,41046.89305
2192,40827.13582
2193,40655.70549
2194,40540.62497
2195,40489.69373
2196,39782.20208
2197,40128.6186
2198,40572.19889
2199,41081.68794
2200,41696.35212
2201,41133.99554
2202,40894.05568
2203,40672.072
2204,40467.21326
2205,40284.34554
2206,40520.87792
2207,41122.66975
2208,41842.54208
2209,42694.74429
2210,43700.22464
2211,44896.48561
2212,45536.97327
2213,46219.10874
2214,46944.44774
2215,47712.39036
2216,48286.09087
2217,48490.78138
2218,48738.25207
2219,49042.53934
2220,49741.13706
2221,49369.0561
2222,48682.47808
2223,48083.44018
2224,47528.99868
2225,47022.40508
2226,47610.24649
2227,48765.332
2228,49994.85168
2229,51316.32896
2230,52826.17982
2231,55170.27184
2232,58313.64432
2233,61756.13061
2234,65518.11091
2235,69623.87947
2236,68392.09917
2237,67740.80809
2238,67118.95825
2239,66538.32736
2240,66132.34282
2241,65704.47747
2242,65663.89834
2243,65717.9071
2244,65831.96322
2245,65985.97626
2246,66632.61432
2247,65956.11472
2248,65300.70971
2249,64669.6364
2250,64080.08641
2251,64435.30717
2252,64062.48366
2253,63772.81328
2254,63571.3424
2255,63432.12188
2256,64156.08451
2257,66016.4716
2258,67991.8222
2259,70092.47982
2260,72425.02169
2261,74946.53594
2262,76065.41862
2263,77271.17884
2264,78587.70324
2265,80041.15119
2266,82513.94357
2267,83625.67739
2268,84775.92114
2269,85929.95714
2270,87889.37312
2271,89746.57632
2272,90838.06975
2273,92016.45985
2274,93322.49887
2275,94781.28284
2276,98957.24979
2277,103632.1628
2278,108792.7271
2279,114486.6077
2280,121000.8025
2281,122940.6142
2282,124843.1239
2283,126918.0902
2284,129200.9261
2285,131749.6854
2286,128362.2104
2287,126862.7852
2288,125493.5757
2289,124180.5815
2290,122985.9948
2291,122255.4927
2292,122429.7085
2293,122645.2347
2294,122942.6217
2295,123374.9544
2296,119501.9832
2297,116865.4496
2298,114588.1947
2299,112572.5434
2300,111425.251