Temperature,AR4,AR5
0,0,0
0.1,0.0000065,0.00000843
0.2,0.0000493,0.00007287
0.3,0.0001412,0.00024766
0.4,0.0002954,0.00060087
0.5,0.000531,0.00119668
0.6,0.0008681,0.00211316
0.7,0.0013258,0.00340872
0.8,0.0019249,0.00514074
0.9,0.0026867,0.00698654
1,0.0036456,0.00865313
1.1,0.0047668,0.0100571
1.2,0.0059122,0.01145834
1.3,0.0070489,0.01292684
1.4,0.0081768,0.01446259
1.5,0.0092959,0.01606559
1.6,0.0104883,0.01770555
1.7,0.0120824,0.0192613
1.8,0.0141601,0.02070255
1.9,0.0167214,0.02202929
2,0.0197664,0.02324153
2.1,0.0232085,0.02433927
2.2,0.0267022,0.0253225
2.3,0.0301608,0.02619123
2.4,0.0335845,0.02694546
2.5,0.0369731,0.02758518
2.6,0.0403268,0.0281104
2.7,0.0434974,0.02852112
2.8,0.0457153,0.02881733
2.9,0.0468418,0.02899904
3,0.0469489,0.02906625
3.1,0.0460443,0.02901895
3.2,0.0442901,0.02885716
3.3,0.0417255,0.02858085
3.4,0.0385281,0.02819005
3.5,0.0347798,0.02768474
3.6,0.0306256,0.02706493
3.7,0.0262833,0.02633061
3.8,0.0223189,0.02548179
3.9,0.0188024,0.02451847
4,0.0157482,0.02344065
4.1,0.0131566,0.02224832
4.2,0.0110273,0.02094149
4.3,0.0093605,0.01952015
4.4,0.0081561,0.01798431
4.5,0.0074141,0.01633397
4.6,0.007058,0.01460863
4.7,0.0067808,0.0129663
4.8,0.0065061,0.01144649
4.9,0.0062338,0.01004919
5,0.0059639,0.0087744
5.1,0.0056964,0.00762213
5.2,0.0054313,0.00659237
5.3,0.0051687,0.00568513
5.4,0.0049084,0.0049004
5.5,0.0046505,0.00423818
5.6,0.0043951,0.00369848
5.7,0.004142,0.0032813
5.8,0.0038914,0.00298663
5.9,0.0036431,0.00281447
6,0.0033973,0.00276483
6.1,0.0031575,0.00281287
6.2,0.0029373,0.00285928
6.3,0.0027375,0.00287922
6.4,0.0025556,0.0028727
6.5,0.0023898,0.00283972
6.6,0.002238,0.00278027
6.7,0.0020998,0.00269436
6.8,0.0019729,0.00258199
6.9,0.0018559,0.00244315
7,0.0017482,0.00227785
7.1,0.0016484,0.00209051
7.2,0.0015561,0.00191226
7.3,0.0014711,0.00175897
7.4,0.001393,0.00162339
7.5,0.0013206,0.00151393
7.6,0.0012537,0.00140585
7.7,0.0011912,0.00130118
7.8,0.0011333,0.00120225
7.9,0.0010791,0.00110705
8,0.0010283,0.00101681
8.1,0.0009807,0.00093896
8.2,0.0009362,0.0008723
8.3,0.0008945,0.00081412
8.4,0.0008552,0.00076651
8.5,0.0008181,0.00072412
8.6,0.0007828,0.00068632
8.7,0.0007492,0.00065323
8.8,0.0007175,0.00062122
8.9,0.0006876,0.00059135
9,0.0006593,0.00056263
9.1,0.0006326,0.00053648
9.2,0.0006073,0.00051165
9.3,0.0005832,0.00048678
9.4,0.0005602,0.00046234
9.5,0.0005382,0.00044017
9.6,0.0005171,0.0004206
9.7,0.0004968,0.00040123
9.8,0.0004773,0.00038416
9.9,0.0004587,0.00036867
10,0.0004408,0.00035306