year,,,,,,,,,,,,,,,,
,USA,CAN,WEU  ,JPK,ANZ,CEE,FSU,MDE,CAM,SAM,SAS,SEA,CHI,NAF,SSA,SIS
1995,266.278,29.302311,386.034261,170.564991,21.678282,119.472798,289.556203,214.182253,123.031793,323.806226,1270.506432,510.054876,1213.738075,133.271143,582.841064,38.210528
1996,269.394,29.610218,387.169789,171.281681,21.956767,119.450572,289.121137,218.835929,125.347258,329.054235,1297.104714,518.934314,1226.74683,135.799538,598.555704,38.660703
1997,272.657,29.905948,388.209564,172.01058,22.204337,119.413409,288.609457,223.579926,127.638698,334.263773,1323.598363,527.853919,1239.357771,138.327171,614.275409,39.10331
1998,275.854,30.155173,389.186636,172.686503,22.422584,119.319353,288.045099,228.383005,129.913176,339.427399,1350.268106,536.634374,1251.302624,140.820614,630.298986,39.527099
1999,279.04,30.401286,390.333549,173.247677,22.647364,119.181323,287.26814,233.273758,132.174266,344.504518,1377.185274,545.027496,1262.195506,143.277032,646.828559,39.948166
2000,282.162411,30.68573,391.743567,173.851111,22.886502,118.599776,286.510528,238.270367,134.422962,349.466851,1404.225718,553.157035,1272.192875,145.748513,663.891603,40.356328
2001,284.968955,31.020902,393.398345,174.519164,23.155201,117.864747,285.752164,243.348773,136.646919,354.300627,1431.541625,561.097684,1281.476023,148.256382,681.561553,40.756384
2002,287.625193,31.360079,395.419304,175.089736,23.44371,117.203088,285.036213,247.932971,138.854388,358.995119,1459.260288,568.902755,1290.088382,150.820159,699.799237,41.147517
2003,290.107933,31.644028,397.651597,175.61033,23.747937,116.893283,284.456789,252.460774,141.030683,363.515971,1486.61833,576.50779,1298.109787,153.416914,718.579434,41.534199
2004,292.805298,31.940655,399.989721,175.843519,24.020222,116.607822,284.050473,257.564833,143.201445,367.929904,1513.011069,584.08,1305.871978,156.045526,738.005728,41.912185
2005,295.516599,32.243753,402.316828,175.957561,24.310744,116.323478,283.726101,263.242158,145.349932,372.29801,1538.705148,591.648019,1313.581074,158.690232,758.081398,42.278341
2006,298.379912,32.571174,404.537592,176.292292,24.635566,116.05486,283.575954,269.628376,147.445041,376.577248,1563.687514,599.3466,1320.960205,161.354699,778.838451,42.63118
2007,301.231207,32.889025,406.999623,176.684638,25.051422,115.625355,283.801748,276.408964,149.524842,380.749418,1587.385775,607.168854,1327.922273,164.112787,800.35523,42.974158
2008,304.093966,33.247118,409.430626,177.117708,25.508999,115.194035,284.528434,283.364443,151.584276,384.809631,1610.785159,615.029908,1334.775725,166.958117,822.567182,43.315473
2009,306.771529,33.628895,411.301381,177.354835,25.994253,114.956416,285.466609,290.359755,153.625388,388.818527,1634.418134,622.765851,1341.442534,169.884673,845.402226,43.663886
2010,309.327143,34.004889,412.929674,177.624112,26.38245,114.585112,286.601952,296.898522,155.780764,392.53494,1658.093421,630.436583,1347.989017,172.960673,868.823867,43.975268
2011,311.583481,34.339328,413.038954,177.769638,26.724024,114.319829,287.81993,302.998144,158.07254,396.63907,1682.242451,638.198247,1355.421541,175.867954,892.779955,44.26411
2012,313.877662,34.714222,414.52092,177.828853,27.141565,114.046027,288.974944,309.123356,160.350628,400.705293,1705.847399,646.086493,1364.715215,178.897361,917.362684,44.599393
2013,316.059947,35.082954,416.403455,177.873893,27.570229,113.787415,290.318655,315.501258,162.558124,404.713924,1728.796927,653.797978,1373.857427,182.467548,942.720398,44.935647
2014,318.386329,35.437435,418.360759,178.022659,27.992186,113.535514,291.654254,322.2252,164.693667,408.719575,1751.220949,661.301938,1382.59649,186.127807,969.017735,45.251521
2015,320.738994,35.702908,420.230205,178.155947,28.425395,113.252837,293.088116,329.003914,166.753697,412.748863,1772.8742,668.70328,1390.731288,189.697425,996.223121,45.560117
2016,323.071755,36.109487,422.076033,178.293803,28.905007,112.960922,294.429679,335.2597,168.786308,416.757544,1794.441334,676.090736,1398.782843,193.198486,1023.803857,45.852269
2017,325.122128,36.545236,423.606171,178.333911,29.407802,112.68326,295.582531,340.823329,170.765302,420.69983,1818.396264,683.232916,1407.342839,196.643751,1051.936851,46.115909
2018,326.838199,37.065084,425.101959,178.396058,29.867243,112.43531,296.548486,346.334849,172.590291,424.541278,1840.044335,690.126362,1414.027582,200.006117,1080.715846,46.336081
2019,328.329953,37.60123,426.08872,178.397822,30.319417,112.222539,297.521995,351.858554,174.298466,428.223569,1861.094006,696.879733,1419.148983,203.246849,1109.806182,46.666622
2020,330.9160315,37.99271609,427.5729216,178.2366909,30.74672492,112.1506648,297.753754,357.6849545,176.2176579,431.8819943,1885.030285,703.1736131,1422.501296,205.8067569,1134.915044,46.92256656
2021,333.4279017,38.36309528,428.955502,177.8932551,31.14598425,112.0339248,297.7933437,362.8653117,177.8976294,435.0614333,1906.319444,708.457922,1423.805965,208.010467,1158.623169,47.12419029
2022,335.9588388,38.73708518,430.3425531,177.5504811,31.55042813,111.9173063,297.8329387,368.1206961,179.5936169,438.2642787,1927.849039,713.7819423,1425.111831,210.2377736,1182.826551,47.32668038
2023,338.5089873,39.11472099,431.7340893,177.2083675,31.96012389,111.8008091,297.8725389,373.4521943,181.3057731,441.490703,1949.621784,719.1459722,1426.418895,212.4889296,1207.535537,47.53004055
2024,341.0784931,39.49603826,433.1301251,176.8669132,32.37513972,111.6844333,297.9121444,378.8609087,183.0342521,444.7408795,1971.640426,724.5503125,1427.727157,214.7641901,1232.760688,47.73427456
2025,343.6675031,39.88107287,434.5306751,176.5261168,32.79554471,111.5681785,297.9517552,384.3479576,184.7792096,448.0149834,1993.907743,729.9952661,1429.036619,217.0638134,1258.512787,47.93938614
2026,346.0663893,40.22565373,435.8020562,176.0334066,33.17324323,111.3872737,297.8345194,389.2486104,186.278082,450.7359846,2013.416146,734.4260359,1428.208921,219.0078725,1282.687207,48.09248449
2027,348.4820203,40.57321184,437.0771572,175.5420716,33.55529162,111.2066621,297.7173298,394.2117494,187.7891128,453.4735117,2033.11542,738.8836986,1427.381702,220.9693429,1307.325986,48.24607178
2028,350.914513,40.92377293,438.355989,175.0521081,33.94173997,111.0263434,297.6001863,399.2381712,189.3124006,456.2276651,2053.007431,743.3684175,1426.554962,222.9483805,1332.438045,48.40014955
2029,353.3639851,41.27736293,439.6385625,174.5635121,34.33263896,110.8463171,297.4830888,404.3286826,190.8480449,458.9985457,2073.094066,747.8803567,1425.728701,224.9451427,1358.032474,48.55471939
2030,355.8305551,41.63400803,440.9248886,174.0762798,34.72803983,110.6665826,297.3660375,409.484101,192.3961458,461.7862552,2093.377229,752.4196816,1424.902919,226.9597883,1384.11854,48.70978285
2031,358.0738161,41.95267669,442.0920121,173.4501625,35.08773411,110.411765,297.2013472,414.1399322,193.6909872,464.0128181,2111.468981,755.9561001,1421.830512,228.6851168,1408.429805,48.81023158
2032,360.3312192,42.27378444,443.262225,172.8262971,35.45115392,110.157534,297.0367482,418.8487003,194.9945429,466.2501168,2129.717089,759.50914,1418.764731,230.4235611,1433.168085,48.91088746
2033,362.6028536,42.59734997,444.4355354,172.2046757,35.81833782,109.9038885,296.8722403,423.6110069,196.3068716,468.4982029,2148.122904,763.0788795,1415.70556,232.175221,1458.340878,49.01175091
2034,364.8888091,42.92339209,445.6119516,171.5852901,36.18932482,109.650827,296.7078235,428.427461,197.6280324,470.7571284,2166.687789,766.6653969,1412.652986,233.9401968,1483.955818,49.11282236
2035,367.189176,43.25192975,446.7914817,170.9681323,36.5641543,109.3983481,296.5434978,433.2986781,198.9580847,473.0269456,2185.413118,770.2687712,1409.606993,235.7185898,1510.020669,49.21410223
2036,369.2705815,43.55910659,447.8633892,170.2215823,36.91561483,109.1038791,296.4267739,437.6878636,200.0418992,474.7778357,2201.828075,772.8530296,1404.391952,237.2524668,1534.092696,49.26208969
2037,371.3637855,43.86846502,448.9378683,169.4782922,37.27045366,108.8102027,296.3100959,442.1215103,201.1316177,476.5352065,2218.366328,775.4459582,1399.196204,238.7963252,1558.548467,49.31012394
2038,373.4688547,44.18002052,450.0149252,168.7382478,37.62870325,108.5173168,296.1934638,446.6000684,202.2272723,478.2990823,2235.028801,778.0475861,1394.019679,240.3502299,1583.3941,49.35820503
2039,375.5858565,44.4937887,451.0945661,168.0014348,37.9903964,108.2252192,296.0768777,451.123993,203.3288955,480.0694869,2251.816429,780.6579425,1388.862304,241.9142461,1608.635811,49.406333
2040,377.7148584,44.80978528,452.1767972,167.2678392,38.35556619,107.9339079,295.9603374,455.6937436,204.4365197,481.8464446,2268.730152,783.2770567,1383.724011,243.4884398,1634.279913,49.4545079
2041,379.6258369,45.11307208,453.1176323,166.4174039,38.70093044,107.6245544,295.7967985,459.6684087,205.3044366,483.1030147,2283.305947,784.8732471,1376.67108,244.810086,1657.682512,49.45072666
2042,381.5464837,45.41841162,454.060425,165.5712925,39.04940444,107.3160874,295.6333499,463.6777417,206.1760381,484.3628616,2297.975386,786.4726902,1369.654098,246.138906,1681.420231,49.44694571
2043,383.4768475,45.7258178,455.0051794,164.7294829,39.4010162,107.0085046,295.4699917,467.722045,207.05134,485.6259941,2312.739072,788.0753928,1362.672882,247.4749388,1705.497871,49.44316505
2044,385.4169777,46.03530459,455.9518995,163.8919533,39.75579397,106.7018034,295.3067237,471.8016237,207.9303578,486.8924205,2327.597609,789.6813614,1355.72725,248.8182236,1729.920298,49.43938468
2045,387.3669237,46.3468861,456.9005894,163.0586819,40.11376625,106.3959812,295.143546,475.9167854,208.8131075,488.1621496,2342.551607,791.2906027,1348.817021,250.1687996,1754.69245,49.4356046
2046,389.1789019,46.64811681,457.6631358,162.1314922,40.44854702,106.0723806,294.8775588,479.3852612,209.4632363,488.884763,2354.636111,791.8789575,1340.176615,251.2118869,1777.174905,49.37959844
2047,390.999356,46.95130536,458.4269548,161.2095746,40.78612179,105.7497642,294.6118112,482.8790153,210.1153892,489.6084461,2366.782955,792.4677497,1331.591558,252.2593234,1799.945422,49.32365573
2048,392.8283256,47.25646449,459.1920487,160.2928993,41.12651389,105.4281291,294.3463032,486.3982318,210.7695726,490.3332005,2378.992461,793.0569797,1323.061497,253.3111272,1823.007692,49.2677764
2049,394.6658506,47.56360699,459.9584195,159.3814364,41.46974682,105.1074722,294.0810345,489.9430963,211.4257927,491.0590276,2391.264952,793.6466479,1314.586079,254.3673165,1846.365453,49.21196037
2050,396.5119709,47.87274575,460.7260692,158.4751563,41.8158443,104.7877905,293.8160048,493.5137958,212.084056,491.7859292,2403.600753,794.2367544,1306.164953,255.4279096,1870.022492,49.15620758
2051,398.3203978,48.16450102,461.2936076,157.5054336,42.13409288,104.435471,293.4284812,496.4261096,212.5213365,491.9714974,2412.83768,794.0392738,1296.294966,256.1988998,1890.755038,49.05012013
2052,400.1370726,48.45803435,461.8618451,156.5416446,42.45476355,104.084336,293.0414687,499.3556096,212.9595187,492.1571356,2422.110104,793.8418422,1286.499562,256.9722172,1911.717441,48.94426163
2053,401.962033,48.75335659,462.4307825,155.5837532,42.77787476,103.7343816,292.6549666,502.302397,213.3986043,492.3428439,2431.418162,793.6444597,1276.778176,257.7478687,1932.91225,48.8386316
2054,403.7953168,49.05047864,463.0004208,154.6317233,43.10344507,103.3856038,292.2689743,505.266574,213.8385952,492.5286222,2440.76199,793.4471263,1267.130249,258.5258616,1954.342041,48.73322953
2055,405.6369619,49.34941147,463.5707608,153.6855188,43.43149321,103.0379987,291.8834911,508.2482431,214.2794932,492.7144706,2450.141726,793.249842,1257.555226,259.3062027,1976.00942,48.62805494
2056,407.4667854,49.63036667,463.9850589,152.6879429,43.72847524,102.6416187,291.4145103,510.5936799,214.4956528,492.4528845,2456.138611,792.3893865,1246.847357,259.8070803,1994.981441,48.47743606
2057,409.3048633,49.9129214,464.3997272,151.6968422,44.02748801,102.2467636,290.946283,512.9499404,214.7120304,492.1914372,2462.150174,791.5298644,1236.230664,260.3089253,2014.135615,48.32728371
2058,411.1512327,50.19708477,464.8147661,150.7121748,44.32854542,101.8534274,290.4788081,515.3170744,214.9286262,491.9301287,2468.176451,790.6712747,1225.704369,260.8117398,2033.473692,48.17759643
2059,413.005931,50.48286593,465.2301759,149.7338989,44.63166144,101.4616044,290.0120842,517.6951321,215.1454406,491.6689589,2474.217478,789.8136162,1215.267705,261.3155255,2052.997437,48.02837279
2060,414.8689959,50.77027409,465.645957,148.761973,44.93685015,101.0712887,289.5461103,520.084164,215.3624737,491.4079278,2480.27329,788.9568881,1204.919907,261.8202843,2072.708634,47.87961134
2061,416.594539,51.0163765,465.8358645,147.7071031,45.19109677,100.594498,288.9658518,521.9023942,215.4742623,490.7640981,2483.373216,787.6336425,1193.816502,262.0812931,2090.170145,47.70839944
2062,418.327259,51.26367186,466.0258495,146.6597133,45.44678188,100.1199565,288.3867562,523.726981,215.5861089,490.1211119,2486.477017,786.3126163,1182.815416,262.3425621,2107.77876,47.53779978
2063,420.0671858,51.51216595,466.2159119,145.6197505,45.70391362,99.64765353,287.8088211,525.5579467,215.6980135,489.4789681,2489.584697,784.9938057,1171.915706,262.6040916,2125.535719,47.36781016
2064,421.8143494,51.76186458,466.4060518,144.587162,45.96250019,99.17757862,287.2320442,527.3953135,215.8099763,488.8376656,2492.696261,783.677207,1161.116437,262.8658818,2143.442271,47.1984284
2065,423.5687799,52.0127736,466.5962693,143.5618957,46.22254979,98.70972123,286.6564232,529.2391037,215.9219972,488.1972034,2495.811714,782.3628166,1150.416684,263.1279329,2161.499676,47.02965233
2066,425.1109378,52.22467283,466.6463139,142.4710193,46.43597956,98.1684704,285.9892738,530.5530606,215.957756,487.2089069,2496.488991,780.4716031,1139.299136,263.1515763,2177.324006,46.84600984
2067,426.6587105,52.43743533,466.6963638,141.3884321,46.65039482,97.63018738,285.3236772,531.8702797,215.9935208,486.2226111,2497.166451,778.5849613,1128.289028,263.1752218,2193.264186,46.66308444
2068,428.2121185,52.65106463,466.7464191,140.3140711,46.86580013,97.09485591,284.6596296,533.190769,216.0292915,485.238312,2497.844095,776.7028802,1117.38532,263.1988694,2209.321064,46.48087334
2069,429.7711822,52.86556425,466.7964797,139.2478738,47.08220006,96.56245979,283.9971275,534.5145368,216.0650682,484.2560054,2498.521923,774.8253485,1106.586985,263.2225192,2225.495494,46.29937373
2070,431.3359222,53.08093773,466.8465458,138.1897782,47.2995992,96.03298294,283.3361672,535.8415912,216.1008507,483.2756874,2499.199935,772.9523555,1095.893005,263.2461711,2241.788337,46.11858285
2071,432.6395683,53.25783768,466.7880482,137.0996533,47.47293539,95.46125409,282.5736389,536.6473574,216.047267,481.9681509,2497.611655,770.5525983,1084.841749,263.0640324,2255.79684,45.92702762
2072,433.9471545,53.43532717,466.7295579,136.0181281,47.64690679,94.89292899,281.8131627,537.4543352,215.9936965,480.664152,2496.024384,768.1602916,1073.901937,262.8820197,2269.89288,45.73626802
2073,435.2586927,53.61340817,466.6710749,134.9451345,47.82151574,94.32798741,281.0547332,538.2625265,215.9401393,479.3636811,2494.438122,765.7754121,1063.072445,262.700133,2284.077003,45.54630075
2074,436.5741948,53.79208265,466.6125993,133.8806054,47.99676456,93.76640918,280.2983448,539.0719331,215.8865954,478.0667288,2492.852869,763.3979369,1052.35216,262.5183721,2298.34976,45.35712252
2075,437.8936728,53.97135259,466.554131,132.8244739,48.17265561,93.20817428,279.543992,539.8825569,215.8330647,476.7732855,2491.268622,761.027843,1041.739981,262.336737,2312.711704,45.16873004
2076,438.9244001,54.10651927,466.3680412,131.7596921,48.30227128,92.64062533,278.6801136,540.2298003,215.6854051,475.2014509,2487.458626,758.2299529,1030.752852,262.011734,2324.838632,44.9705561
2077,439.9575535,54.24202446,466.1820256,130.7034461,48.43223571,92.07653221,277.8189049,540.5772671,215.5378465,473.6347985,2483.654456,755.4423491,1019.881604,261.6871336,2337.029148,44.77325163
2078,440.9931389,54.37786901,465.9960842,129.6556674,48.56254982,91.51587388,276.9603576,540.9249574,215.3903889,472.073311,2479.856104,752.6649939,1009.125014,261.3629353,2349.283587,44.57681282
2079,442.0311618,54.51405377,465.810217,128.6162882,48.69321456,90.95862943,276.1044635,541.2728713,215.2430322,470.5169714,2476.063562,749.8978495,998.4818729,261.0391387,2361.602283,44.38123586
2080,443.0716281,54.6505796,465.624424,127.5852411,48.82423088,90.40477806,275.2512143,541.6210089,215.0957762,468.9657628,2472.276819,747.1408783,987.9509837,260.7157432,2373.985573,44.18651699
2081,443.8393268,54.73781335,465.2901319,126.5181138,48.90699422,89.86189701,274.3150495,541.5847246,214.8468699,467.1914347,2466.457028,744.0481857,977.2059011,260.2793812,2384.168006,43.98213946
2082,444.6083557,54.82518635,464.9560797,125.4599121,48.98989786,89.32227596,273.3820688,541.5484428,214.5982516,465.4238198,2460.650937,740.9682949,966.5776834,259.8437496,2394.394114,43.77870724
2083,445.378717,54.91269882,464.6222675,124.4105611,49.07294203,88.78589534,272.4522612,541.5121634,214.349921,463.6628926,2454.858514,737.9011528,956.0650597,259.4088471,2404.664084,43.57621597
2084,446.1504132,55.00035097,464.2886948,123.369987,49.15612698,88.25273568,271.525616,541.4758864,214.1018778,461.9086278,2449.079727,734.8467068,945.6667725,258.9746725,2414.978103,43.37466128
2085,446.9234464,55.08814304,463.9553617,122.3381163,49.23945293,87.72277766,270.6021225,541.4396119,213.8541216,460.1610003,2443.314542,731.8049043,935.3815785,258.5412245,2425.336361,43.17403886
2086,447.4659874,55.1260145,463.4094472,121.2962052,49.26968538,87.21048656,269.6352295,541.1119016,213.522133,458.2591834,2435.886712,728.4970744,925.220333,258.0304486,2433.534455,42.96784732
2087,448.0091871,55.16391201,462.8641751,120.2631677,49.29993639,86.70118718,268.6717914,540.7843896,213.1906598,456.3652266,2428.481463,725.2041962,915.1694712,257.5206818,2441.760261,42.76264052
2088,448.5530461,55.20183556,462.3195446,119.2389283,49.33020598,86.19486205,267.7117958,540.4570758,212.8597011,454.4790973,2421.098726,721.9262021,905.2277941,257.0119221,2450.013871,42.55841375
2089,449.0975654,55.23978519,461.775555,118.2234119,49.36049415,85.69149381,266.7552303,540.1299601,212.5292562,452.6007633,2413.738433,718.6630249,895.3941154,256.5041675,2458.295381,42.35516233
2090,449.6427457,55.2777609,461.2322054,117.2165443,49.39080092,85.19106518,265.8020827,539.8030424,212.1993243,450.7301924,2406.400516,715.4145976,885.6672621,255.9974161,2466.604883,42.1528816
2091,449.9832038,55.25465564,460.4704296,116.2107053,49.36483516,84.70311274,264.8151419,539.2525044,211.8193522,448.7527394,2397.611588,711.9750083,876.3058054,255.4013402,2473.021003,41.95184447
2092,450.3239197,55.23156003,459.7099119,115.2134973,49.33888305,84.21795518,263.8318656,538.7025278,211.4400604,446.783962,2388.854759,708.551956,867.0432988,254.8066523,2479.453812,41.75176613
2093,450.6648936,55.20847407,458.9506503,114.2248465,49.31294458,83.73557647,262.8522403,538.1531121,211.0614479,444.823822,2380.129914,705.1453611,857.8786964,254.2133491,2485.903355,41.55264201
2094,451.0061256,55.18539777,458.1926427,113.2446793,49.28701975,83.2559607,261.8762525,537.6042568,210.6835132,442.8722816,2371.436934,701.7551445,848.8109634,253.6214274,2492.369674,41.35446756
2095,451.347616,55.16233111,457.435887,112.2729229,49.26110855,82.77909204,260.9038885,537.0559613,210.3062554,440.929303,2362.775704,698.3812275,839.8390758,253.0308839,2498.852813,41.15723826
2096,451.469363,55.0801961,456.4022223,111.288318,49.18520116,82.30301817,259.869662,536.2712884,209.8964469,438.9044734,2353.191567,694.8492914,831.2806069,252.3721079,2503.587864,40.96285659
2097,451.5911429,54.99818338,455.3708934,110.3123479,49.10941073,81.82968226,258.8395352,535.487762,209.487437,436.8889422,2343.646306,691.3352174,822.809354,251.715047,2508.331887,40.76939297
