# Index: time, region,,,,,,,
# Units: million dollars,,,,,,,,
,,,,,,,,
year,EU,US,OT,EE,CA,IA,AF,LA
2009,14727424.89,13332331.58,8059153.438,1287860.16,3855524.637,3879043.191,2896140.565,3338427.679
2010,15062578.16,13693485.33,8368195.494,1344209.792,4256360.878,4180772.837,3045825.077,3587412.797
2020,17672795.43,17142484.18,9963397.239,1672749.497,8502490.615,6650538.651,4022841.223,4417490.025
2030,20708265.04,21101270.08,11739881.01,2329043.946,13894173.13,10267869.92,6319169.302,6041493.112
2040,24217413.43,24477368.94,13443477.18,2961808.441,18063088.65,14590550.47,9408494.762,7845416.474
2050,28111808.73,27457971.36,15274493.7,3454504.357,21200382.18,19657138.29,13662643.14,9896618.212
2075,39640674.17,34948200.16,20652502.94,4808180.535,24811909.64,35383898.51,33118928.49,16041211.56
2100,52319842.68,41610600.93,26266898.11,6019411.986,25737442.74,53221645.15,69208924.95,23292801.76
2150,83006629.07,53803467.4,39736492.89,8821760.599,29246905.18,106069544,235883542,43683718.84
2200,119436729.7,64363397.4,56817929.09,12456762.75,37873947.61,195490290,598469677,73500294.05